Id,Title,Author,Year,Pages,Genre,Finished,Rating
21,"Ashes of the Monsoon","Amira Patel",2018,368,"Fiction",true,4.2
22,"Patterns in Production","Marcus Ito",2021,312,"Software",false
23,"Nebula’s Orphan","Elena Kuznetsova",2015,528,"Software",true,4.6
24,"Bridges of Bamboo Capital","Chen Wei",2017,342,"NonFiction",true,3.9
25,"Letters Left Unsent","Sophia Anders",2012,406,"Romance",false
26,"The Seventh Footstep","Amira Patel",2020,410,"Thriller",true,4.0
27,"Refactoring the Night","Marcus Ito",2019,290,"Software",true,3.7
28,"Signal at Perihelion","Elena Kuznetsova",2024,498,"Software",true,4.7
29,"The Archivist of Luoyang","Chen Wei",2010,380,"History",false
30,"A Winter of Small Vows","Sophia Anders",2008,372,"Romance",true,3.9
31,"House of Quiet Keys","Amira Patel",2013,456,"Mystery",false
32,"Clean Code, Messy Life","Marcus Ito",2016,305,"Software",false
33,"Witch of the Black Orbit","Elena Kuznetsova",2003,612,"Fantasy",true,4.0
34,"Notes from a Narrow Bridge","Chen Wei",2022,288,"NonFiction",true,4.4
35,"Tidal Rooms","Sophia Anders",2011,420,"Romance",false
36,"The Lark in Chamber Nine","Owen Fitzgerald",2005,398,"Mystery",true,3.2
37,"Tiny Habits of Radiance","Ruth Kim",2025,260,"SelfHelp",true,4.8
38,"Contours of a Quiet Life","Andre Dubois",2014,390,"Biography",false
39,"River That Remembers","Amira Patel",2025,344,"Fiction",true,4.5
40,"The Pragmatic Compiler","Marcus Ito",2001,284,"Software",true,3.9
